id,gender,age
09597f,1,48
08747a,2,17
05326a,1,55
11ed6d,1,28
0dd53a,2,34
1d0423,2,43
1ce8e5,1,48
0ce28b,1,37
18c62f,2,56
0c9e6f,2,57
0e5582,1,45
51208,2,52
1b1470,2,49
0cd006,2,61
0e09f0,2,25
012d2f,1,39
05a932,1,38
08cd7d,2,24
0426eb,2,52
0b33a7,1,70
40581,2,47
1d44b7,2,29
16bc53,2,37
16d0a8,1,34
1b39ed,2,32
12b4ca,2,40
1b0959,2,47
061ac2,1,33
11bbec,2,34
076a4f,2,33
0c05b1,1,66
077df0,2,29
0c966f,2,53
1cec9a,2,35
0f53bd,1,28
1a0220,2,48
0aaa38,2,59
0ce9fd,1,63
0230b2,2,25
0ef5fb,2,51
0fa755,1,53
0190cd,1,45
08c43f,1,54
1e40b5,1,48
11a746,1,26
0fb727,1,27
113a61,2,34
1a7b47,2,66
01ee81,2,29
0dbd22,2,60
0e8710,1,57
4.50E+99,2,36
089ebb,1,36
0ac1f7,1,39
18085,1,47
03e7b2,1,10
10c7f9,1,42
08f802,1,50
156955,2,40
17e95a,1,89
0cb23a,1,31
1e2119,1,21
06bfe2,1,15
16142f,1,47
02bbb2,1,39
09bf23,2,58
11ea52,1,38
0a5149,1,35
07fc3c,1,19
1e4f5d,1,26
1a2eae,2,39
0f35da,1,24
1bf4c4,2,68
138fde,1,41
117c19,1,31
021d23,1,56
97239,2,50
1.70E+41,1,64
0672a4,1,35
07b2fc,1,32
140377,1,50
0ca556,1,46
0a7726,2,45
09252e,2,35
1d2ae3,1,85
10ec1d,2,26
1624f7,1,36
1bd122,1,25
181c00,2,13
005fa5,1,4
03f073,1,78
0e72ff,2,24
13e5b3,1,13
0fc3f7,1,27
00472b,2,46
05e7c4,2,19
1d4e63,1,37
0da74a,1,37
0ba481,1,37
1ca1c0,2,26
0d5c34,2,39
18341f,1,37
18787d,1,33
17441b,2,4
1da255,1,5
0e7fbc,2,42
050bca,1,24
19c053,2,47
16e5d0,2,26
0bdeac,2,45
0bb6c2,1,48
0574c4,2,47
14d2f6,2,36
09258b,1,33
1cf663,2,30
1e6c5a,1,54
1ccc2b,1,24
49735,1,35
155c02,2,90
113124,2,15
000fc7,1,35
0fa554,2,40
0f37ad,1,22
109806,1,46
18b56c,1,51
5.96E+02,2,19
1a7952,2,32
0ff7db,1,80
13e32f,2,61
1598ba,1,29
0e824c,1,46
0b640f,2,50
0c1407,1,40
0ce5fd,1,23
1bc6a0,1,39
0eab4e,1,40
17db03,2,50
0720ec,2,48
06af74,1,59
0593a1,2,52
105b1b,1,32
0b2f94,2,40
18438b,1,19
1b2ca0,2,47
1666a9,2,64
13af1d,2,45
1da4e5,1,46
0e5d32,1,31
1ab151,2,56
15eb07,2,60
053a14,1,26
19fd49,1,0
19a10d,1,52
14f47e,2,33
1a349b,1,34
1b1f1c,2,50
17c3fa,2,43
31643,2,43
16798e,1,56
1a922b,2,25
07641b,1,26
27413,1,81
44422,1,43
0419c5,2,25
1cafbb,1,38
02e855,1,67
069de6,1,32
1d9c2b,1,27
1433a6,2,34
15767f,1,72
1c604b,1,60
01abaf,1,61
0f2e4f,2,2
00b8b6,1,53
01c508,2,63
072fb1,2,64
081cc9,1,37
034cbf,2,31
17619c,1,44
158e5b,1,49
11e505,2,68
1332,1,28
1bf1b8,1,41
07e854,1,23
1.10E+192,1,38
0928c2,2,29
095d21,1,28
1af265,2,60
0e8fdc,1,58
0feb7c,2,9
6432,1,53
147dfb,1,34
1046ea,1,52
1a9bab,2,48
0ec16b,2,31
0e3a59,1,55
18cf43,2,27
131553,1,25
1a0701,2,34
11a240,1,31
185986,2,53
0ed58e,1,48
10c2a3,1,50
1d3a8e,1,58
14489c,2,56
12be7e,1,0
15d1f4,2,51
43710,1,60
021b55,1,58
197b39,1,63
1716c2,2,58
0d42e2,1,35
0d1e76,1,64
14394,2,37
128017,1,62
49322,2,46
06de33,2,52
0d3ae4,2,17
088b15,2,68
0347d9,2,42
09a054,2,65
3081,1,22
124514,1,95
181c12,1,32
0f1026,2,58
15782c,2,33
141d67,1,48
52620,2,27
0f25f8,2,49
03474d,2,23
19cca7,2,23
18b721,2,29
0129df,1,57
4.20E+97,1,63
1148fe,2,59
0344a7,2,3
066cbc,1,4
14db03,1,36
150dd1,2,30
1d0f1d,2,37
12a717,1,23
0d2a1a,2,6
0927f3,2,4
0ac07b,2,76
1b1a5c,1,25
06fbba,1,65
195a7e,2,31
125207,1,53
03e15b,2,31
001f32,1,43
0063dc,1,49
1193f8,1,25
1266c4,2,72
0601fb,1,46
07c72e,2,57
16aa26,2,45
01df62,2,60
18537c,1,44
19c6fd,1,79
1158ec,2,62
1855c9,1,26
0be54d,2,45
19819f,2,40
05fe13,2,64
1680b4,2,32
043ad8,1,43
06020a,1,34
0ec3ba,2,22
19ab5d,2,65
0db051,2,42
0cc158,1,42
06aacc,1,41
26581,1,50
18d69d,2,25
035efc,1,50
028bc1,2,31
1aa587,2,83
130373,1,25
0104b9,2,81
13798b,1,39
02e4a3,2,8
02bbaf,1,39
1927ec,1,31
1ad8a9,2,54
060a9a,1,23
04148d,2,55
1c33e4,2,40
7768,2,107
1bd8dc,1,54
196b35,1,64
12c4e7,1,29
1de31a,2,86
0736ba,1,20
04bc45,2,43
023a11,1,23
16f8af,1,16
16d143,2,54
1d3d00,1,26
15b519,1,37
103147,1,78
0ec116,1,13
0f7256,2,30
197d88,2,8
1c80c7,2,45
16f5e6,2,37
0c0bd2,1,47
08b4e5,2,66
0b8cca,2,41
17b1b8,1,40
054a81,2,29
07a772,2,54
124391,2,49
08cf2a,1,32
14020,2,25
1093ad,2,54
14deaf,2,28
05d513,1,32
0ccc89,2,68
1152f9,1,44
1c87e8,2,32
16e3d7,1,55
0b0b89,1,32
1cc05c,1,32
1d98ba,2,54
0659d4,2,35
10fa95,2,47
1a958c,1,53
162ff8,2,56
1b8ad1,2,74
93198,1,43
100433,1,42
1b51a5,2,37
05670d,1,75
07ca2c,2,25
0944c9,1,26
09a6cb,1,45
0b20cf,2,58
62778,2,33
1d7eec,1,45
1a0104,1,65
00f7ab,2,57
0654a7,2,47
0d3d8a,2,33
038ed5,2,45
1b3db8,1,13
1b1cd2,1,51
17c078,1,31
09125b,2,30
05b6f4,1,36
124b49,1,43
0d8e9c,2,34
0a6c48,2,56
14b814,1,39
000f6a,2,59
016aac,2,1
0d04a0,1,21
13d3bd,1,56
15fdf2,2,65
54836,1,36
0f2c94,1,27
1.87E+31,1,51
0ace17,1,26
19fd89,2,29
00d35f,1,26
0dc3c1,1,59
160050,1,7
1.18E+09,2,25
8.90E+01,2,38
0f60b2,1,25
103b97,2,33
16dbd9,2,69
0d4154,2,52
34959,2,46
180469,1,43
0fc091,1,57
19b874,2,46
10466a,1,35
0c955c,1,25
0228db,2,6
07a926,1,6
1c2f42,2,61
12b42e,2,43
107f20,1,11
1.73E+12,2,44
1c93b1,1,49
04c839,1,46
07b7aa,2,29
0079c9,2,27
1061f7,2,45
1.16E+23,1,32
1b7e4a,1,24
1481f0,2,60
0efcaf,2,16
17a752,2,46
180857,1,2
162873,1,67
040b29,1,26
06af1d,2,67
7337,1,33
01c1e6,2,32
0e8d86,1,53
0a233c,1,50
14fdc3,2,34
0aa1b5,2,82
15f4a3,2,70
00b2c1,1,19
02f557,2,41
02b89c,2,5
021a47,1,13
0d8bfe,1,34
177482,1,53
1adeba,1,53
38799,2,43
00223e,2,35
1dac6c,1,37
08ac75,1,40
0da0ae,2,47
148660,1,43
0352af,1,46
1e830a,2,80
0f60d5,1,31
05a293,2,4
1df000,2,2
12736f,2,23
1d6568,2,46
16aa1d,2,49
00b890,2,5
15ab40,2,28
155a23,2,23
1467a9,1,34
15f429,1,26
0c87a1,2,31
0d1a0b,2,68
1a7348,2,34
18d200,1,27
19157d,1,4
4.01E+09,1,26
11a086,2,54
15adfe,2,30
68077,1,67
1c9645,2,74
11b27b,2,42
0cf9d6,1,30
0423db,1,21
0a9a2f,2,52
1cebbd,2,37
09b896,2,34
8119,1,28
0646c2,1,67
0dd51e,2,34
08bd9e,2,19
16e0c3,2,46
0f4645,1,84
04e54d,2,33
1e5736,2,37
084b78,2,69
06b3d9,1,2
00a3b0,1,21
030df8,1,47
02b061,2,56
044ebe,1,67
18c587,2,47
0b81bf,1,61
13d792,2,40
1346ca,1,33
0866b0,1,27
14751f,2,38
02413c,2,65
1a6f07,2,54
023b0a,2,65
12f3b6,2,27
15c0cb,1,27
0249ec,2,71
0ddeaf,1,70
18a784,1,49
085a11,1,8
06480e,1,53
01e18d,1,24
042ceb,2,29
181d58,2,34
1d29cf,1,37
6.00E+152,2,30
1e1ae6,1,45
11bcd3,1,36
11c2ce,2,42
96133,1,44
03165f,1,62
0085c7,1,53
1af185,1,15
046b20,1,34
1baea2,1,47
11745e,1,28
18f017,2,30
1cf62b,1,24
0d4d37,1,38
1da2d8,2,70
09cc6e,2,33
0f1737,1,40
00f7d7,1,41
1645cc,2,34
141d1c,1,45
1bcf89,1,25
195121,1,51
13041a,2,54
16ed85,1,52
08b82a,2,43
34833,2,38
108ae0,2,30
01be58,2,76
039d93,2,62
0bfc30,1,40
0040ed,2,35
1440f5,2,29
101571,2,40
02197a,1,26
0965c9,2,58
27260,1,22
0889cf,2,38
1e4ec9,2,50
0812ce,2,73
1cb54b,1,35
0f35ab,1,48
0853be,1,51
0fc94d,1,46
1c4884,2,31
1c5fc6,2,65
0403ae,1,47
0524a0,2,20
192168,2,57
0a97d8,2,30
00eb6d,1,61
03d79e,2,55
13a699,2,54
17ec4d,2,54
03f900,2,32
059f9f,2,40
17941d,2,53
22664,2,53
0195c6,1,38
1a01a9,1,29
0bf0fa,1,29
1cf9b3,2,27
1c009b,2,35
114a50,2,66
054b22,2,38
10b5a4,1,29
81481,2,58
09fadb,2,38
0cc04e,2,61
02f747,1,57
0880a6,2,25
1bceb8,2,66
0c5fc9,2,59
0e3670,1,30
0ab670,2,53
1c2946,1,29
02a782,2,66
15f3d7,1,46
46182,2,56
0672ff,2,78
0c1148,1,31
02ac39,2,24
12e677,1,27
1bcc49,2,72
04e8ce,1,44
15d338,1,74
0ec07c,1,32
1e5f25,1,35
107ec2,1,30
19d142,1,47
19b3f2,2,46
0d65d7,1,26
14bf1f,2,40
60689,2,66
1a4df2,2,55
119c48,1,45
1e3542,1,28
153892,2,27
0359dd,2,43
08d616,2,55
0692f3,1,49
0ac46a,1,46
62835,2,69
141a33,2,54
19276a,1,31
70859,2,71
199ab6,1,40
069b11,2,32
0ec3a1,1,65
0ac04e,1,34
10e4e5,1,60
028bb6,1,23
15fb88,2,37
007bcd,1,74
039ec1,2,47
19521b,1,23
031c93,1,21
0def51,1,49
195a2e,2,47
0ed640,2,46
0ca361,2,36
033e1e,1,29
19f87f,1,44
17a955,2,36
1ab4e5,2,42
134f95,1,24
145c65,1,33
117ef6,1,48
098a9b,1,65
0ecd46,1,62
04ea9d,2,43
183c12,1,29
0038ac,1,35
03f951,1,61
1df17b,2,59
0e6d24,1,71
142eca,2,28
115322,1,29
05e69c,2,42
1.40E+256,1,31
049ae3,2,48
147896,1,21
01013e,2,87
1e7a7e,1,32
1d8ad9,1,42
0100a7,1,31
1963db,1,31
0b44b5,1,31
1a8419,2,52
1dcd0e,1,61
062f1f,1,41
19f389,2,58
190077,1,69
051bb7,2,41
00d14e,2,49
1c30bd,2,34
0fb3aa,2,17
10fffe,1,12
36800,1,28
1b53b0,2,32
0624db,1,19
14b916,1,4
14b7c7,1,26
1.05E+04,2,24
080b4e,2,55
0c34cb,1,46
189fa7,1,31
1377a0,2,43
10045e,2,28
12bb91,2,28
